"Policy","Policy"
"Order #","Order #"
"Rental Product","Demo Product"
"Price","Price"
"From","From"
"To","To"
"Options","Options"
"Delivery","Delivery"
"Status","Status"
"Action","Action"
"You have not rented any products.","You have not demoed any products."
"We don't have as many %1 as you requested. Maximum qty you can rent for this duration is %2.","We don't have as many %1 as you requested. Maximum qty you can demo for this duration is %2."
"An error occurred when adding item to cart. Please refresh the page and try again.","An error occurred when adding item to cart. Please refresh the page and try again."
"Rent duration not selected.","Demo duration not selected."
"Select ...","Select ..."
"Approximate ship time","Approximate ship time"
"Pickup Address","Pickup Address"
"Lead time","Lead time"
"Address","Address"
"%1 for the first %2 %3","%1 for the first %2 %3"
"%1 for every extra %2 %3","%1 for every extra %2 %3"
"%1 for every %2 %3","%1 for every %2 %3"
"day","day"
"days","days"
"week","week"
"weeks","weeks"
"hour","hour"
"hours","hours"
"Product Name","Product Name"
"SKU","SKU"
"Qty","Qty"
"Ordered","Ordered"
"Shipped","Shipped"
"Canceled","Canceled"
"Refunded","Refunded"
"Subtotal","Subtotal"
"Please select rent duration!","Please select demo duration!"
"/extra %1 %2","/extra %1 %2"
"My Rental Orders","My Demo Orders"
"Unpaid","Unpaid",
"Pending","Pending"
"Delivering","Delivering"
"Delivered","Delivered"
"Returning","Returning"
"Complete","Complete"
"Set as Delivered","Set as Delivered"
"Set as Returning","Set as Returning"
"(Incl. Tax)","(Incl. Tax)"
"Delivery Type","Delivery Type"
"Shipping","Shipping"
"Local Pickup","Local Pickup"
"Are you sure you want to set","Are you sure you want to set"
"as","as"
"Qty Rented","Qty Demoed"
"Rental","Demo"
